"date","year","title","artist","main_artist","peak_pos","last_pos","weeks","rank","change","genre","broad_genre","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","month","seasons"
2017-12-31,2017,"1-800-273-8255","logic","logic",3,34,35,34,"0","[u'rap']","rap",0.572,0.192,100.015,0.0387,0.57,"0","4",0.629,"5",250173,-7.733,0.386,"0","Dec","Winter"
2017-12-31,2017,"All I Want For Christmas Is You","mariah carey","mariah carey",9,9,24,13,"-4","[u'dance pop', u'hip pop', u'pop', u'pop rap', u'post-teen pop', u'r&b', u'urban contemporary']","r&b",0.625,0.0708,150.277,0.0386,0.164,"0","4",0.335,"7",241107,-7.462,0.346,"1","Dec","Winter"
2017-12-31,2017,"Attention","charlie puth","charlie puth",5,44,36,39,"5","[u'dance pop', u'pop', u'post-teen pop', u'viral pop']","pop",0.626,0.0848,100.041,0.0432,0.0969,"3.12E-05","4",0.774,"3",211475,-4.432,0.777,"0","Dec","Winter"
2017-12-31,2017,"Bad At Love","halsey","halsey",8,10,17,9,"1","[u'dance pop', u'etherpop', u'indie poptimism', u'pop', u'post-teen pop']","rock",0.736,0.0879,118.369,0.0302,0.06,"0","4",0.675,"0",181279,-3.604,0.607,"1","Dec","Winter"
2017-12-31,2017,"Bank Account","21 savage","21 savage",12,35,25,28,"7","[u'pop', u'rap', u'trap music']","rap",0.346,0.0871,75.016,0.351,0.0151,"7.04E-06","4",0.884,"8",220307,-8.228,0.376,"0","Dec","Winter"
2017-12-31,2017,"Believer","imagine dragons","imagine dragons",4,40,47,25,"15","[u'modern rock', u'vegas indie']","rock",0.78,0.118,124.953,0.102,0.0492,"0","4",0.784,"10",204347,-4.275,0.722,"0","Dec","Winter"
2017-12-31,2017,"Bodak Yellow (Money Moves)","cardi b","cardi b",1,12,26,10,"2","[u'pop']","rap",0.703,0.231,125.022,0.103,0.0659,"0","4",0.926,"11",223713,-6.337,0.485,"0","Dec","Winter"
2017-12-31,2017,"Despacito","luis fonsi","luis fonsi",1,36,50,30,"6","[u'latin', u'latin pop', u'pop']","pop",0.815,0.091,88.357,0.152,0.222,"0","4",0.63,"2",228827,-4.265,0.813,"1","Dec","Winter"
2017-12-31,2017,"Feel It Still","portugal. the man","portugal the man",4,20,28,23,"-3","[u'modern rock', u'neo-psychedelic']","rock",0.795,0.0717,79.028,0.0504,0.0417,"0.000113","4",0.801,"1",163253,-5.115,0.754,"0","Dec","Winter"
2017-12-31,2017,"Gucci Gang","lil pump","lil pump",3,4,16,6,"-2","[]","unknown",0.523,0.117,119.889,0.0597,0.239,"0","4",0.936,"5",124056,-6.71,0.699,"1","Dec","Winter"
2017-12-31,2017,"Havana","camila cabello","camila cabello",2,3,20,3,"0","[u'dance pop', u'pop', u'post-teen pop']","pop",0.523,0.132,104.988,0.03,0.184,"3.56E-05","4",0.765,"2",217307,-4.333,0.394,"1","Dec","Winter"
2017-12-31,2017,"I Fall Apart","post malone","post malone",16,16,14,16,"0","[u'pop', u'rap']","rap",0.543,0.199,143.916,0.0398,0.0777,"0","4",0.573,"8",223347,-5.357,0.308,"0","Dec","Winter"
2017-12-31,2017,"I Get The Bag","gucci mane","gucci mane",11,19,19,22,"-3","[u'dirty south rap', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.633,0.0993,139.948,0.168,0.0232,"0.000343","4",0.89,"11",233087,-5.475,0.425,"1","Dec","Winter"
2017-12-31,2017,"Love.","kendrick lamar","kendrick lamar",11,22,27,11,"11","[u'hip hop', u'pop rap', u'rap', u'west coast rap']","rap",0.582,0.153,126.075,0.103,0.29,"0","4",0.798,"10",213400,-7.38,0.766,"1","Dec","Winter"
2017-12-31,2017,"Mi Gente","j balvin","j balvin",3,25,26,32,"-7","[u'latin', u'reggaeton']","unknown",0.678,0.128,102.681,0.0998,0.0164,"1.31E-05","4",0.535,"11",189440,-4.906,0.287,"0","Dec","Winter"
2017-12-31,2017,"New Rules","dua lipa","dua lipa",12,13,22,12,"1","[u'dance pop', u'pop', u'post-teen pop']","pop",0.696,0.179,116.054,0.0755,0.00256,"9.71E-06","4",0.771,"9",208827,-6.258,0.656,"0","Dec","Winter"
