"energy","liveness","tempo","speechiness","acousticness","danceability","duration_ms","loudness"
0.776,0.155,160.053,0.127,0.0609,0.616,208187,-6.519
0.572,0.192,100.015,0.0387,0.57,0.629,250173,-7.733
0.625,0.0708,150.277,0.0386,0.164,0.335,241107,-7.462
0.626,0.0848,100.041,0.0432,0.0969,0.774,211475,-4.432
0.736,0.0879,118.369,0.0302,0.06,0.675,181279,-3.604
0.346,0.0871,75.016,0.351,0.0151,0.884,220307,-8.228
0.78,0.118,124.953,0.102,0.0492,0.784,204347,-4.275
0.703,0.231,125.022,0.103,0.0659,0.926,223713,-6.337
0.815,0.091,88.357,0.152,0.222,0.63,228827,-4.265
0.437,0.106,180.043,0.039,0.101,0.258,239000,-6.593
0.533,0.103,131.036,0.0412,0.0172,0.797,146520,-9.74
0.795,0.0717,79.028,0.0504,0.0417,0.801,163253,-5.115
0.617,0.119,147.986,0.0561,0.401,0.671,222573,-8.72
0.523,0.117,119.889,0.0597,0.239,0.936,124056,-6.71
0.523,0.132,104.988,0.03,0.184,0.765,217307,-4.333
0.634,0.0866,92.097,0.0468,0.214,0.638,196422,-6.474
0.543,0.199,143.916,0.0398,0.0777,0.573,223347,-5.357
0.633,0.0993,139.948,0.168,0.0232,0.89,233087,-5.475
0.852,0.281,168.063,0.0933,0.163,0.47,183200,-5.874
0.726,0.0745,103.001,0.054,0.032,0.667,174800,-4.172
0.929,0.103,130.024,0.0839,0.118,0.602,177306,-2.741
0.573,0.083,76.02,0.0292,0.179,0.579,207187,-5.991
0.709,0.133,128.063,0.139,0.189,0.769,211853,-6.432
0.621,0.389,92.003,0.0443,0.0715,0.584,178253,-5.703
0.582,0.153,126.075,0.103,0.29,0.798,213400,-7.38
0.678,0.128,102.681,0.0998,0.0164,0.535,189440,-4.906
0.696,0.179,116.054,0.0755,0.00256,0.771,208827,-6.258
0.771,0.0853,175.957,0.244,0.0117,0.838,245387,-3.791
0.299,0.123,94.992,0.0263,0.779,0.587,259550,-7.365
0.696,0.231,144.981,0.182,0.119,0.82,292910,-4.918
0.844,0.087,170.142,0.275,0.0651,0.797,173600,-5.482
0.56,0.462,141.285,0.0611,0.652,0.676,124520,-6.281
0.535,0.143,159.764,0.0776,0.13,0.575,218320,-6.637
0.524,0.2,140.053,0.245,0.0306,0.747,213132,-6.807
0.427,0.107,76.08,0.0336,0.0446,0.639,214627,-9.013
0.652,0.0931,95.977,0.0802,0.581,0.825,233713,-3.183
0.761,0.17,141.971,0.0853,0.256,0.52,180823,-3.093
0.506,0.0866,145.965,0.0434,0.173,0.674,259333,-10.532
0.635,0.283,144.004,0.265,0.0223,0.702,203760,-6.917
0.56,0.0944,134.066,0.0406,0.013,0.853,206693,-4.961
0.606,0.166,160.223,0.456,0.00266,0.766,140000,-6.064
0.757,0.106,82.008,0.05,0.617,0.703,221747,-3.612
0.573,0.126,101.925,0.0585,0.495,0.775,171806,-4.933
0.809,0.145,167.96,0.0441,0.00763,0.601,187147,-4.814
0.373,0.177,91.5,0.0505,0.615,0.661,201000,-8.249
0.769,0.104,97.985,0.123,0.0293,0.726,233902,-5.043
0.588,0.0906,113.617,0.0507,0.0285,0.489,269600,-6.177
0.612,0.0852,109.959,0.0693,0.0805,0.792,199849,-5.212
0.539,0.165,136.949,0.0421,0.199,0.798,202547,-6.351
0.611,0.0976,150.02,0.0888,0.000259,0.904,177000,-6.842
0.391,0.297,134.021,0.242,0.469,0.872,119133,-9.144
0.799,0.091,121.991,0.0589,0.357,0.858,199440,-4.034
0.738,0.0856,130.02,0.0303,0.032,0.663,157080,-5.48
0.801,0.265,128.027,0.0303,0.013,0.551,240760,-5.069
0.812,0.212,123.071,0.0358,0.198,0.627,220293,-4.215
0.652,0.0931,95.977,0.0802,0.581,0.825,233713,-3.183
0.815,0.091,88.357,0.152,0.222,0.63,228827,-4.265
0.56,0.0944,134.066,0.0406,0.013,0.853,206693,-4.961
0.78,0.118,124.953,0.102,0.0492,0.784,204347,-4.275
0.611,0.0976,150.02,0.0888,0.000259,0.904,177000,-6.842
0.769,0.104,97.985,0.123,0.0293,0.726,233902,-5.043
0.626,0.0848,100.041,0.0432,0.0969,0.774,211475,-4.432
0.799,0.091,121.991,0.0589,0.357,0.858,199440,-4.034
0.809,0.145,167.96,0.0441,0.00763,0.601,187147,-4.814
0.572,0.192,100.015,0.0387,0.57,0.629,250173,-7.733
0.795,0.0717,79.028,0.0504,0.0417,0.801,163253,-5.115
0.582,0.153,126.075,0.103,0.29,0.798,213400,-7.38
0.703,0.231,125.022,0.103,0.0659,0.926,223713,-6.337
0.678,0.128,102.681,0.0998,0.0164,0.535,189440,-4.906
0.635,0.283,144.004,0.265,0.0223,0.702,203760,-6.917
0.346,0.0871,75.016,0.351,0.0151,0.884,220307,-8.228
0.625,0.0708,150.277,0.0386,0.164,0.335,241107,-7.462
0.539,0.165,136.949,0.0421,0.199,0.798,202547,-6.351
0.696,0.179,116.054,0.0755,0.00256,0.771,208827,-6.258
0.56,0.462,141.285,0.0611,0.652,0.676,124520,-6.281
0.573,0.126,101.925,0.0585,0.495,0.775,171806,-4.933
0.801,0.265,128.027,0.0303,0.013,0.551,240760,-5.069
0.738,0.0856,130.02,0.0303,0.032,0.663,157080,-5.48
0.588,0.0906,113.617,0.0507,0.0285,0.489,269600,-6.177
0.606,0.166,160.223,0.456,0.00266,0.766,140000,-6.064
0.523,0.132,104.988,0.03,0.184,0.765,217307,-4.333
0.761,0.17,141.971,0.0853,0.256,0.52,180823,-3.093
0.633,0.0993,139.948,0.168,0.0232,0.89,233087,-5.475
0.524,0.2,140.053,0.245,0.0306,0.747,213132,-6.807
0.709,0.133,128.063,0.139,0.189,0.769,211853,-6.432
0.634,0.0866,92.097,0.0468,0.214,0.638,196422,-6.474
0.66,0.103,94.053,0.0726,0.0319,0.804,169345,-4.86
0.299,0.123,94.992,0.0263,0.779,0.587,259550,-7.365
0.612,0.0852,109.959,0.0693,0.0805,0.792,199849,-5.212
0.757,0.106,82.008,0.05,0.617,0.703,221747,-3.612
0.929,0.103,130.024,0.0839,0.118,0.602,177306,-2.741
0.391,0.297,134.021,0.242,0.469,0.872,119133,-9.144
