"date","year","title","artist","main_artist","peak_pos","last_pos","weeks","rank","change","genre","broad_genre","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","month","seasons"
2017-12-31,2017,"...Ready For It?","taylor swift","taylor swift",4,59,17,61,"-2","[u'dance pop', u'pop', u'post-teen pop']","pop",0.776,0.155,160.053,0.127,0.0609,"0","4",0.616,"2",208187,-6.519,0.459,"1","Dec","Winter"
2017-12-31,2017,"1-800-273-8255","logic","logic",3,34,35,34,"0","[u'rap']","rap",0.572,0.192,100.015,0.0387,0.57,"0","4",0.629,"5",250173,-7.733,0.386,"0","Dec","Winter"
2017-12-31,2017,"All I Want For Christmas Is You","mariah carey","mariah carey",9,9,24,13,"-4","[u'dance pop', u'hip pop', u'pop', u'pop rap', u'post-teen pop', u'r&b', u'urban contemporary']","r&b",0.625,0.0708,150.277,0.0386,0.164,"0","4",0.335,"7",241107,-7.462,0.346,"1","Dec","Winter"
2017-12-31,2017,"Attention","charlie puth","charlie puth",5,44,36,39,"5","[u'dance pop', u'pop', u'post-teen pop', u'viral pop']","pop",0.626,0.0848,100.041,0.0432,0.0969,"3.12E-05","4",0.774,"3",211475,-4.432,0.777,"0","Dec","Winter"
2017-12-31,2017,"Bad At Love","halsey","halsey",8,10,17,9,"1","[u'dance pop', u'etherpop', u'indie poptimism', u'pop', u'post-teen pop']","rock",0.736,0.0879,118.369,0.0302,0.06,"0","4",0.675,"0",181279,-3.604,0.607,"1","Dec","Winter"
2017-12-31,2017,"Bank Account","21 savage","21 savage",12,35,25,28,"7","[u'pop', u'rap', u'trap music']","rap",0.346,0.0871,75.016,0.351,0.0151,"7.04E-06","4",0.884,"8",220307,-8.228,0.376,"0","Dec","Winter"
2017-12-31,2017,"Believer","imagine dragons","imagine dragons",4,40,47,25,"15","[u'modern rock', u'vegas indie']","rock",0.78,0.118,124.953,0.102,0.0492,"0","4",0.784,"10",204347,-4.275,0.722,"0","Dec","Winter"
2017-12-31,2017,"Bodak Yellow (Money Moves)","cardi b","cardi b",1,12,26,10,"2","[u'pop']","rap",0.703,0.231,125.022,0.103,0.0659,"0","4",0.926,"11",223713,-6.337,0.485,"0","Dec","Winter"
2017-12-31,2017,"Despacito","luis fonsi","luis fonsi",1,36,50,30,"6","[u'latin', u'latin pop', u'pop']","pop",0.815,0.091,88.357,0.152,0.222,"0","4",0.63,"2",228827,-4.265,0.813,"1","Dec","Winter"
2017-12-31,2017,"Dusk Till Dawn","zayn","zayn",44,88,16,99,"-11","[u'dance pop', u'pop', u'post-teen pop']","pop",0.437,0.106,180.043,0.039,0.101,"1.27E-06","4",0.258,"11",239000,-6.593,0.0967,"0","Dec","Winter"
2017-12-31,2017,"F**k Love","xxxtentacion","xxxtentacion",41,91,18,96,"-5","[]","unknown",0.533,0.103,131.036,0.0412,0.0172,"0.000152","4",0.797,"0",146520,-9.74,0.329,"0","Dec","Winter"
