"date","year","title","artist","main_artist","peak_pos","last_pos","weeks","rank","change","genre","broad_genre","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","month","seasons"
2017-08-26,2017,"Issues","julia michaels","julia michaels",11,39,29,44,"-5","[u'dance pop', u'pop', u'post-teen pop']","pop",0.42,0.061,113.975,0.0811,0.427,"0","4",0.725,"8",176320,-6.811,0.424,"1","Aug","Summer"
2017-08-19,2017,"Rolex","ayo","ayo",20,50,25,49,"1","[u'dwn trap']","rap",0.886,0.266,144.946,0.04,0.0837,"0","4",0.804,"1",238587,-2.512,0.789,"1","Aug","Summer"
2017-08-19,2017,"Passionfruit","drake","drake",8,80,20,81,"-1","[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']","rap",0.459,0.11,111.963,0.039,0.304,"0.0862","4",0.804,"11",298941,-11.556,0.372,"1","Aug","Summer"
2017-08-19,2017,"Swalla","jason derulo","jason derulo",29,86,20,82,"4","[u'dance pop', u'pinoy hip hop', u'pop', u'pop rap', u'post-teen pop']","rap",0.817,0.187,98.064,0.109,0.075,"0","4",0.696,"1",216409,-3.862,0.782,"1","Aug","Summer"
2017-08-19,2017,"God, Your Mama, And Me","florida georgia line","florida georgia line",46,89,19,95,"-6","[u'contemporary country', u'country road', u'modern country rock']","country",0.802,0.377,168.032,0.054,0.333,"0","4",0.439,"7",183413,-3.644,0.725,"1","Aug","Summer"
2017-08-19,2017,"Heavy","linkin park","linkin park",45,45,19,96,"-51","[u'alternative metal', u'nu metal', u'post-grunge', u'rap metal']","rap",0.671,0.0604,149.982,0.0706,0.0484,"0","4",0.59,"9",169801,-6.098,0.438,"1","Aug","Summer"
2017-08-12,2017,"Closer","the chainsmokers","the chainsmokers",1,36,52,39,"-3","[u'edm', u'pop', u'tropical house']","edm",0.524,0.111,95.01,0.0338,0.414,"0","4",0.748,"8",244960,-5.599,0.661,"1","Aug","Summer"
2017-08-12,2017,"In The End","linkin park","linkin park",2,0,39,37,"Re-Entry","[u'alternative metal', u'nu metal', u'post-grunge', u'rap metal']","rock",0.853,0.108,105.256,0.0498,0.0103,"0","4",0.542,"3",216933,-6.407,0.37,"0","Aug","Summer"
2017-08-12,2017,"Numb","linkin park","linkin park",11,0,33,34,"Re-Entry","[u'alternative metal', u'nu metal', u'post-grunge', u'rap metal']","rock",0.863,0.639,110.018,0.0381,0.0046,"0","4",0.496,"9",185587,-4.153,0.243,"1","Aug","Summer"
2017-08-12,2017,"The Fighter","keith urban","keith urban",38,0,23,47,"Re-Entry","[u'australian country', u'contemporary country', u'country', u'country road']","country",0.845,0.197,132.023,0.0525,0.0304,"0","4",0.681,"11",184040,-5.147,0.761,"0","Aug","Summer"
2017-08-05,2017,"24K Magic","bruno mars","bruno mars",4,48,41,50,"-2","[u'dance pop', u'pop', u'post-teen pop']","pop",0.803,0.153,106.97,0.0797,0.034,"0","4",0.818,"1",225983,-4.282,0.632,"1","Aug","Summer"
2017-08-05,2017,"Bad And Boujee","migos","migos",1,43,36,45,"-2","[u'pop', u'rap', u'trap music']","rap",0.665,0.123,127.076,0.244,0.061,"0","4",0.927,"11",343150,-5.313,0.175,"1","Aug","Summer"
2017-08-05,2017,"iSpy","kyle","kyle",4,39,30,46,"-7","[u'pop', u'pop rap', u'rap']","rap",0.653,0.229,75.016,0.289,0.378,"0","4",0.746,"7",253107,-6.745,0.672,"1","Aug","Summer"
2017-08-05,2017,"The Cure","lady gaga","lady gaga",39,84,14,87,"-3","[u'dance pop', u'pop', u'post-teen pop']","pop",0.497,0.0852,99.972,0.0362,0.0808,"0","4",0.695,"8",211364,-4.884,0.537,"1","Aug","Summer"
2017-07-29,2017,"Hurricane","luke combs","luke combs",31,46,22,50,"-4","[u'contemporary country', u'country road']","country",0.813,0.254,75.975,0.0416,0.0153,"0","4",0.464,"10",222533,-6.185,0.516,"1","Jul","Summer"
2017-07-29,2017,"Slide","calvin harris","calvin harris",25,32,20,45,"-13","[u'dance pop', u'edm', u'electro house', u'house', u'pop', u'progressive house']","edm",0.795,0.254,104.066,0.0545,0.498,"1.21E-06","4",0.736,"1",230813,-3.299,0.511,"0","Jul","Summer"
2017-07-22,2017,"Goosebumps","travis scott","travis scott",32,42,34,47,"-5","[u'pop', u'pop rap', u'rap', u'trap music']","rap",0.728,0.149,130.049,0.0484,0.0847,"0","4",0.841,"7",243837,-3.37,0.43,"1","Jul","Summer"
2017-07-22,2017,"T-Shirt","migos","migos",19,49,25,48,"1","[u'pop', u'rap', u'trap music']","rap",0.687,0.158,139.023,0.217,0.242,"0","4",0.865,"10",242407,-3.744,0.486,"0","Jul","Summer"
2017-07-22,2017,"Tunnel Vision","kodak black","kodak black",6,51,20,55,"-4","[u'pop', u'rap', u'southern hip hop', u'trap music']","rap",0.489,0.122,171.853,0.294,0.0576,"9.91E-05","4",0.497,"11",268187,-7.724,0.231,"0","Jul","Summer"
2017-07-22,2017,"Losin Control","russ","russ",62,92,19,95,"-3","[u'pop', u'rap', u'trap music']","rap",0.245,0.102,96.992,0.138,0.515,"0.000154","4",0.759,"6",237507,-6.545,0.209,"1","Jul","Summer"
2017-07-22,2017,"Portland","drake","drake",9,79,16,90,"-11","[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']","rap",0.444,0.26,136.088,0.243,0.0143,"0","4",0.924,"1",236615,-8.227,0.314,"1","Jul","Summer"
2017-07-22,2017,"How Not To","dan + shay","dan + shay",57,80,14,100,"-20","[u'contemporary country', u'country', u'country road']","country",0.836,0.152,159.863,0.0491,0.208,"0","4",0.501,"11",192000,-3.587,0.618,"0","Jul","Summer"
2017-07-15,2017,"Cold","maroon 5","maroon 5",16,71,20,91,"-20","[u'pop']","pop",0.718,0.043,99.915,0.116,0.13,"0","4",0.699,"9",234308,-6.295,0.52,"0","Jul","Summer"
2017-07-15,2017,"Good Drank","2 chainz","2 chainz",70,70,16,97,"-27","[u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.779,0.121,130.002,0.224,0.279,"0","4",0.834,"4",222707,-1.075,0.391,"0","Jul","Summer"
2017-07-15,2017,"Shining","dj khaled","dj khaled",57,0,14,98,"Re-Entry","[u'dance pop', u'dirty south rap', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.807,0.214,112.001,0.106,0.053,"2.99E-06","4",0.768,"2",284000,-5.508,0.575,"0","Jul","Summer"
2017-07-08,2017,"Scars To Your Beautiful","alessia cara","alessia cara",8,49,43,45,"4","[u'dance pop', u'pop', u'post-teen pop']","pop",0.741,0.11,97.048,0.139,0.0294,"0","4",0.591,"0",230227,-5.751,0.452,"1","Jul","Summer"
2017-07-08,2017,"Look At Me!","xxxtentacion","xxxtentacion",34,54,20,60,"-6","[]","unknown",0.726,0.0976,139.059,0.282,0.259,"0","4",0.763,"1",126346,-6.405,0.349,"1","Jul","Summer"
2017-07-01,2017,"Swang","rae sremmurd","rae sremmurd",26,33,26,50,"-17","[u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.317,0.101,140.009,0.0583,0.215,"4.31E-05","4",0.678,"8",208120,-9.427,0.16,"1","Jul","Summer"
2017-07-01,2017,"Black","dierks bentley","dierks bentley",56,71,19,86,"-15","[u'contemporary country', u'country', u'country road', u'modern country rock']","country",0.656,0.117,120.037,0.0413,0.27,"0.000279","4",0.663,"1",211160,-6.548,0.56,"1","Jul","Summer"
2017-07-01,2017,"Hometown Girl","josh turner","josh turner",56,90,16,96,"-6","[u'contemporary country', u'country', u'country road', u'modern country rock']","country",0.79,0.123,155.934,0.035,0.263,"0.0884","4",0.505,"3",215080,-5.442,0.445,"0","Jul","Summer"
2017-06-24,2017,"Rockabye","clean bandit","clean bandit",9,43,27,49,"-6","[u'dance pop', u'edm', u'pop', u'tropical house', u'uk funky']","edm",0.763,0.18,101.965,0.0523,0.406,"0","4",0.72,"9",251088,-4.068,0.742,"0","Jun","Summer"
2017-06-24,2017,"Scared To Be Lonely","martin garrix","martin garrix",76,84,14,95,"-11","[u'big room', u'edm', u'pop', u'progressive house', u'south african pop', u'tropical house']","edm",0.54,0.261,137.972,0.0576,0.0895,"0","4",0.584,"1",220883,-7.786,0.195,"0","Jun","Summer"
2017-06-17,2017,"Paris","the chainsmokers","the chainsmokers",6,53,20,46,"7","[u'edm', u'pop', u'tropical house']","edm",0.644,0.0888,99.999,0.031,0.0243,"0","4",0.646,"2",221520,-6.763,0.251,"1","Jun","Summer"
2017-06-10,2017,"Any Ol' Barstool","jason aldean","jason aldean",52,91,18,100,"-9","[u'contemporary country', u'country', u'country road']","country",0.722,0.117,143.78,0.0284,0.312,"0","4",0.536,"4",203293,-4.163,0.499,"1","Jun","Summer"
2017-06-10,2017,"Chained To The Rhythm","katy perry","katy perry",4,88,15,86,"2","[u'dance pop', u'pop', u'post-teen pop']","pop",0.798,0.144,95.252,0.0944,0.0763,"0","4",0.52,"0",237734,-5.389,0.485,"1","Jun","Summer"
2017-06-03,2017,"Love On The Brain","rihanna","rihanna",5,39,31,43,"-4","[u'dance pop', u'pop', u'r&b', u'urban contemporary']","r&b",0.641,0.073,171.957,0.0456,0.0848,"8.09E-06","3",0.506,"4",224000,-4.815,0.393,"0","Jun","Summer"
2017-06-03,2017,"Bounce Back","big sean","big sean",6,45,28,50,"-5","[u'detroit hip hop', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.567,0.125,81.477,0.175,0.105,"0","4",0.77,"2",222360,-5.698,0.26,"1","Jun","Summer"
2017-06-03,2017,"I Feel It Coming","the weeknd","the weeknd",4,44,26,46,"-2","[u'canadian pop', u'pop']","r&b",0.819,0.0863,92.99,0.127,0.44,"0","4",0.767,"0",269187,-5.945,0.583,"0","Jun","Summer"
2017-06-03,2017,"I Don't Wanna Live Forever (Fifty Shades Darker)","zayn","zayn",2,46,23,48,"-2","[u'dance pop', u'pop', u'post-teen pop']","pop",0.452,0.187,117.962,0.0534,0.0578,"1.48E-05","4",0.737,"0",245653,-8.366,0.096,"1","Jun","Summer"
2017-06-03,2017,"Both","gucci mane","gucci mane",41,43,22,44,"-1","[u'dirty south rap', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']","rap",0.405,0.0707,139.976,0.225,0.119,"0.000118","4",0.85,"7",190312,-7.509,0.344,"0","Jun","Summer"
2017-06-03,2017,"The Weekend","brantley gilbert","brantley gilbert",64,68,20,69,"-1","[u'contemporary country', u'country', u'country road', u'modern country rock']","country",0.809,0.0741,82.022,0.0388,0.0549,"0","4",0.53,"6",187760,-4.745,0.731,"0","Jun","Summer"
2016-08-27,2016,"Sorry","justin bieber","justin bieber",1,45,42,50,"-5","[u'canadian pop', u'dance pop', u'pop', u'post-teen pop']","pop",0.759,0.313,99.992,0.0399,0.0767,"0","4",0.665,"0",200787,-3.694,0.389,"0","Aug","Summer"
2016-08-27,2016,"Let It Go","james bay","james bay",16,47,34,49,"-2","[u'neo mellow', u'pop', u'singer-songwriter']","pop",0.276,0.11,147.613,0.0295,0.819,"1.21E-05","4",0.569,"1",261160,-11.431,0.263,"1","Aug","Summer"
2016-08-27,2016,"Head Over Boots","jon pardi","jon pardi",51,59,24,53,"6","[u'contemporary country', u'country', u'country road', u'modern country rock']","country",0.669,0.103,108.078,0.0237,0.0919,"0","4",0.637,"7",205120,-4.608,0.638,"1","Aug","Summer"
2016-08-27,2016,"All The Way Up","fat joe, remy ma","fat joe",27,65,20,68,"-3","[u'dirty south rap', u'east coast hip hop', u'gangster rap', u'hardcore hip hop', u'hip hop', u'hip pop', u'pop rap', u'rap', u'trap music']","rap",0.721,0.824,117.139,0.386,0.062,"0","5",0.536,"10",191942,-6.44,0.393,"0","Aug","Summer"
2016-08-27,2016,"Close","nick jonas","nick jonas",14,64,20,73,"-9","[u'dance pop', u'pop', u'post-teen pop', u'viral pop']","pop",0.624,0.14,124.075,0.0923,0.224,"0","4",0.643,"6",234240,-5.437,0.39,"0","Aug","Summer"
2016-08-27,2016,"Huntin', Fishin' & Lovin' Every Day","luke bryan","luke bryan",37,85,20,95,"-10","[u'contemporary country', u'country', u'country road']","country",0.807,0.131,77.079,0.0373,0.128,"1.97E-05","4",0.495,"0",278640,-4.231,0.424,"1","Aug","Summer"
2016-08-20,2016,"My House","flo rida","flo rida",4,39,39,44,"-5","[u'dance pop', u'edm', u'pop', u'pop rap', u'post-teen pop']","rap",0.702,0.128,94.006,0.0499,0.0215,"0","4",0.688,"7",192191,-4.792,0.74,"0","Aug","Summer"
2016-08-20,2016,"Dangerous Woman","ariana grande","ariana grande",8,36,21,48,"-12","[u'dance pop', u'pop', u'post-teen pop']","pop",0.618,0.355,134.022,0.0455,0.0537,"0","3",0.662,"7",235947,-5.26,0.261,"1","Aug","Summer"
